,time,cs_1mm,cs_5mm,cs_7mm,cs_9mm
224,35840000.0,5.838133316893e-09,1.01946638163e-10,1.019465982179e-10,1.037932471271e-10
225,36000000.0,5.904258432604e-09,1.019466403861e-10,1.019466014239e-10,1.03809625392e-10
226,36160000.0,5.970618432057e-09,1.019466425859e-10,1.019466046159e-10,1.03826033333e-10
227,36320000.0,6.037209474875e-09,1.019466447628e-10,1.019466077943e-10,1.038424704101e-10
228,36480000.0,6.104027728701e-09,1.01946646917e-10,1.0194661096e-10,1.038589360879e-10
229,36640000.0,6.171069369975e-09,1.019466490487e-10,1.019466141137e-10,1.038754298355e-10
230,36800000.0,6.238330584704e-09,1.019466511582e-10,1.019466172561e-10,1.038919511264e-10
231,36960000.0,6.305807569213e-09,1.019466532457e-10,1.01946620388e-10,1.039084994387e-10
232,37120000.0,6.373496530867e-09,1.019466553114e-10,1.019466235101e-10,1.03925074255e-10
233,37280000.0,6.441393688789e-09,1.019466573555e-10,1.01946626623e-10,1.03941675062e-10
234,37440000.0,6.509495274548e-09,1.019466593783e-10,1.019466297277e-10,1.039583013513e-10
235,37600000.0,6.57779753285e-09,1.0194666138e-10,1.019466328249e-10,1.039749526185e-10
236,37760000.0,6.646296722195e-09,1.019466633608e-10,1.019466359152e-10,1.03991628364e-10
237,37920000.0,6.714989115525e-09,1.019466653209e-10,1.019466389996e-10,1.040083280924e-10
238,38080000.0,6.783871000857e-09,1.019466672606e-10,1.019466420787e-10,1.040250513127e-10
239,38240000.0,6.852938681892e-09,1.019466691801e-10,1.019466451533e-10,1.040417975382e-10
240,38400000.0,6.922188478621e-09,1.019466710795e-10,1.019466482244e-10,1.040585662868e-10
241,38560000.0,6.991616727898e-09,1.01946672959e-10,1.019466512925e-10,1.040753570805e-10
242,38720000.0,7.061219784009e-09,1.01946674819e-10,1.019466543587e-10,1.040921694458e-10
243,38880000.0,7.130994019222e-09,1.019466766595e-10,1.019466574236e-10,1.041090029133e-10
244,39040000.0,7.20093582432e-09,1.019466784809e-10,1.019466604881e-10,1.041258570182e-10
245,39200000.0,7.271041609112e-09,1.019466802832e-10,1.01946663553e-10,1.041427312997e-10
246,39360000.0,7.341307802942e-09,1.019466820668e-10,1.019466666192e-10,1.041596253014e-10
247,39520000.0,7.411730855171e-09,1.019466838317e-10,1.019466696876e-10,1.04176538571e-10
248,39680000.0,7.482307235644e-09,1.019466855782e-10,1.019466727589e-10,1.041934706607e-10
249,39840000.0,7.553033435149e-09,1.019466873064e-10,1.01946675834e-10,1.042104211267e-10
250,40000000.0,7.623905965852e-09,1.019466890167e-10,1.019466789138e-10,1.042273895293e-10
251,40160000.0,7.694921361722e-09,1.019466907091e-10,1.019466819992e-10,1.042443754331e-10
252,40320000.0,7.76607617894e-09,1.019466923838e-10,1.019466850911e-10,1.042613784069e-10
253,40480000.0,7.837366996294e-09,1.01946694041e-10,1.019466881904e-10,1.042783980235e-10
254,40640000.0,7.908790415552e-09,1.01946695681e-10,1.01946691298e-10,1.042954338597e-10
255,40800000.0,7.980343061832e-09,1.019466973038e-10,1.019466944147e-10,1.043124854967e-10
256,40960000.0,8.052021583945e-09,1.019466989097e-10,1.019466975416e-10,1.043295525195e-10
257,41120000.0,8.12382265474e-09,1.019467004989e-10,1.019467006795e-10,1.043466345172e-10
258,41280000.0,8.195742971415e-09,1.019467020715e-10,1.019467038294e-10,1.043637310828e-10
259,41440000.0,8.267779255827e-09,1.019467036277e-10,1.019467069923e-10,1.043808418136e-10
260,41600000.0,8.339928254791e-09,1.019467051676e-10,1.019467101691e-10,1.043979663104e-10
261,41760000.0,8.41218674035e-09,1.019467066915e-10,1.019467133608e-10,1.044151041785e-10
262,41920000.0,8.484551510044e-09,1.019467081995e-10,1.019467165684e-10,1.044322550265e-10
263,42080000.0,8.557019387168e-09,1.019467096917e-10,1.019467197928e-10,1.044494184675e-10
264,42240000.0,8.629587221005e-09,1.019467111684e-10,1.019467230351e-10,1.04466594118e-10
265,42400000.0,8.702251887056e-09,1.019467126297e-10,1.019467262962e-10,1.044837815986e-10
266,42560000.0,8.775010287249e-09,1.019467140757e-10,1.019467295772e-10,1.045009805336e-10
267,42720000.0,8.847859350149e-09,1.019467155067e-10,1.019467328792e-10,1.045181905512e-10
268,42880000.0,8.920796031138e-09,1.019467169228e-10,1.019467362032e-10,1.045354112833e-10
269,43040000.0,8.993817312595e-09,1.019467183241e-10,1.019467395502e-10,1.045526423656e-10
270,43200000.0,9.066920204062e-09,1.019467197108e-10,1.019467429213e-10,1.045698834375e-10
271,43360000.0,9.140101742396e-09,1.01946721083e-10,1.019467463176e-10,1.04587134142e-10
272,43520000.0,9.21335899191e-09,1.01946722441e-10,1.019467497401e-10,1.04604394126e-10
273,43680000.0,9.286689044502e-09,1.019467237847e-10,1.0194675319e-10,1.046216630398e-10
274,43840000.0,9.360089019774e-09,1.019467251145e-10,1.019467566683e-10,1.046389405376e-10
275,44000000.0,9.433556065144e-09,1.019467264305e-10,1.019467601763e-10,1.046562262769e-10
276,44160000.0,9.507087355937e-09,1.019467277327e-10,1.01946763715e-10,1.046735199189e-10
277,44320000.0,9.580680095471e-09,1.019467290214e-10,1.019467672855e-10,1.046908211285e-10
278,44480000.0,9.654331515145e-09,1.019467302967e-10,1.019467708891e-10,1.047081295738e-10
279,44640000.0,9.728038874495e-09,1.019467315587e-10,1.019467745269e-10,1.047254449267e-10
280,44800000.0,9.801799461253e-09,1.019467328076e-10,1.019467782e-10,1.047427668625e-10
281,44960000.0,9.875610591393e-09,1.019467340435e-10,1.019467819097e-10,1.047600950597e-10
282,45120000.0,9.949469609157e-09,1.019467352665e-10,1.019467856572e-10,1.047774292007e-10
283,45280000.0,1.002337388709e-08,1.019467364769e-10,1.019467894436e-10,1.047947689707e-10
284,45440000.0,1.009732082606e-08,1.019467376746e-10,1.019467932703e-10,1.048121140589e-10
285,45600000.0,1.017130785527e-08,1.019467388599e-10,1.019467971384e-10,1.048294641572e-10
286,45760000.0,1.024533243225e-08,1.019467400329e-10,1.019468010492e-10,1.048468189614e-10
287,45920000.0,1.031939204285e-08,1.019467411938e-10,1.019468050039e-10,1.048641781702e-10
