Cs	Cs_prev	Cs_new
2.1198538177982996e-11	5.155774161068875e-09	5.155564232549e-09
2.1198538177982996e-11	6.191941121730798e-09	6.191681422152e-09
2.1198538177982996e-11	7.436348772699602e-09	7.43602585741e-09
2.1198538177982996e-11	8.93084769090527e-09	8.930443778914e-09
2.1198538177982996e-11	1.0725699253236212e-08	1.072519055249e-08
2.1198538177982996e-11	1.2881265972996411e-08	1.288062025739e-08
2.1198538177982996e-11	1.547004154689596e-08	1.546921461227e-08
2.1198538177982996e-11	1.857908888492705e-08	1.857801931319e-08
2.1198538177982996e-11	2.2312968116319047e-08	2.231156946515e-08
2.1198538177982996e-11	2.679725304311257e-08	2.67954020943e-08
2.1198538177982996e-11	3.218275430292997e-08	3.218027324541e-08
2.1198538177982996e-11	3.865059126980035e-08	3.864722052603e-08
2.1198538177982996e-11	4.6418283265741566e-08	4.641363988533e-08
2.1198538177982996e-11	5.57470649361622e-08	5.574057881984e-08
2.1198538177982996e-11	6.695067181190456e-08	6.69414882035e-08
2.1198538177982996e-11	8.040589152448271e-08	8.03927230353e-08
2.1198538177982996e-11	9.656523552161449e-08	9.654614068172e-08
2.1198538177982996e-11	1.1597215744452713e-07	1.159442167394e-07
2.1198538177982996e-11	1.3927932997509995e-07	1.392381879947e-07
2.1198538177982996e-11	1.6727059482006927e-07	1.672098452067e-07
2.1198538177982996e-11	2.0088732403050682e-07	2.007977418788e-07
2.1198538177982996e-11	2.412600792120572e-07	2.411287607614e-07
2.1198538177982996e-11	2.897466333543717e-07	2.89556177662e-07
2.1198538177982996e-11	3.4797763398892665e-07	3.477055575866e-07
2.1198538177982996e-11	4.179114433693365e-07	4.175299908142e-07
2.1198538177982996e-11	5.018999999999996e-07	5.013763554287e-07
2.545885373645242e-11	0.0	8.948615940389e-16
2.545885373645242e-11	1.019e-11	1.0190536857050001e-11
2.545885373645242e-11	1.2237906095048205e-11	1.2238370976250001e-11
2.545885373645242e-11	1.4697384258215702e-11	1.4697762686510002e-11
2.545885373645242e-11	1.7651149008330077e-11	1.765142359195e-11
2.545885373645242e-11	2.1198538177982996e-11	2.119868802222e-11
2.545885373645242e-11	2.545885373645242e-11	2.5458853736450004e-11
2.545885373645242e-11	3.057537402495308e-11	3.057519401466e-11
2.545885373645242e-11	3.672017233938683e-11	3.671977606769e-11
2.545885373645242e-11	4.409990391397474e-11	4.4099247810470007e-11
2.545885373645242e-11	5.296275592736719e-11	5.296178761875e-11
2.545885373645242e-11	6.360679426634714e-11	6.360545078483001e-11
2.545885373645242e-11	7.638998775648742e-11	7.638819339245e-11
2.545885373645242e-11	9.174224698388373e-11	9.173991063236001e-11
2.545885373645242e-11	1.1017988258464067e-10	1.101768946649e-10
2.545885373645242e-11	1.3232296924772027e-10	1.323191978456e-10
